comic_id, title, image_url
1501,Sundome,https://cdn.myanimelist.net/images/manga/2/50469.jpg
1506,Sunadokei,https://cdn.myanimelist.net/images/manga/4/213999.jpg
1517,JoJo no Kimyou na Bouken Part 1: Phantom Blood,https://cdn.myanimelist.net/images/manga/2/198213.jpg
1533,Superior,https://cdn.myanimelist.net/images/manga/3/144347.jpg
1534,Zetman,https://cdn.myanimelist.net/images/manga/2/188924.jpg
1595,Vitamin,https://cdn.myanimelist.net/images/manga/2/182650.jpg
1630,JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,https://cdn.myanimelist.net/images/manga/1/1630.jpg
1649,Liar Game,https://cdn.myanimelist.net/images/manga/2/149018.jpg
1671,Believers,https://cdn.myanimelist.net/images/manga/2/1763.jpg
1695,Adolf ni Tsugu,https://cdn.myanimelist.net/images/manga/2/1788.jpg
1702,Jisatsu Circle,https://cdn.myanimelist.net/images/manga/2/128469.jpg
1709,Tegamibachi,https://cdn.myanimelist.net/images/manga/2/154448.jpg
1721,Nabari no Ou,https://cdn.myanimelist.net/images/manga/3/30490.jpg
1732,B Reaction,https://cdn.myanimelist.net/images/manga/2/15045.jpg
1735,Detroit Metal City,https://cdn.myanimelist.net/images/manga/1/207424.jpg
1744,Arigatou,https://cdn.myanimelist.net/images/manga/3/22394.jpg
1745,Omamori Himari,https://cdn.myanimelist.net/images/manga/3/50423.jpg
1801,Kamisama no Iutoori,https://cdn.myanimelist.net/images/manga/1/150338.jpg
1802,Cat Street,https://cdn.myanimelist.net/images/manga/2/176481.jpg
1814,Switch Girl!!,https://cdn.myanimelist.net/images/manga/1/128769.jpg
1848,Deep Love: Host,https://cdn.myanimelist.net/images/manga/5/1995.jpg
1859,Natsume Yuujinchou,https://cdn.myanimelist.net/images/manga/4/154023.jpg
1875,Caramel Milk Tea,https://cdn.myanimelist.net/images/manga/3/183167.jpg
1895,Mademoiselle Butterfly,https://cdn.myanimelist.net/images/manga/1/185121.jpg
1897,Purikyuu,https://cdn.myanimelist.net/images/manga/2/20710.jpg
1908,Hatsukoi Limited.,https://cdn.myanimelist.net/images/manga/3/191732.jpg
1924,Inumimi,https://cdn.myanimelist.net/images/manga/1/67777.jpg
1926,Nazo no Kanojo X,https://cdn.myanimelist.net/images/manga/3/50697.jpg
1931,"17-sai, Natsu.: Seifuku no Jouji",https://cdn.myanimelist.net/images/manga/2/110805.jpg
1962,Variante,https://cdn.myanimelist.net/images/manga/2/67295.jpg
1964,Hidoku Shinaide,https://cdn.myanimelist.net/images/manga/1/40680.jpg
1978,Moe Kare!!,https://cdn.myanimelist.net/images/manga/4/168281.jpg
2005,Aisaretaino,https://cdn.myanimelist.net/images/manga/2/40555.jpg
2116,Café Latte Rhapsody,https://cdn.myanimelist.net/images/manga/3/23862.jpg
2117,Ano Kado wo Magatta Tokoro,https://cdn.myanimelist.net/images/manga/3/6149.jpg
2126,Akuma no Himitsu♥,https://cdn.myanimelist.net/images/manga/2/2323.jpg
2127,Croquis,https://cdn.myanimelist.net/images/manga/2/21394.jpg
2146,Love-Berrish!,https://cdn.myanimelist.net/images/manga/2/119135.jpg
2149,Arakure,https://cdn.myanimelist.net/images/manga/3/175907.jpg
2214,Warui Koto Shitai,https://cdn.myanimelist.net/images/manga/3/186969.jpg
2222,Dog Style,https://cdn.myanimelist.net/images/manga/1/152593.jpg
2335,Abiru Junjou,https://cdn.myanimelist.net/images/manga/2/132645.jpg
2436,Hotel,https://cdn.myanimelist.net/images/manga/4/66143.jpg
2628,Boku wa Kimi no Tori ni Naritai.,https://cdn.myanimelist.net/images/manga/1/180997.jpg
2652,"Isso Mou, Kudokitai!",https://cdn.myanimelist.net/images/manga/3/22577.jpg
2653,Love Neco,https://cdn.myanimelist.net/images/manga/4/172163.jpg
2686,Ai wo Utau yori Ore ni Oborero!,https://cdn.myanimelist.net/images/manga/1/7275.jpg
2704,Kyuuso wa Cheese no Yume wo Miru,https://cdn.myanimelist.net/images/manga/3/20855.jpg
2730,Hand Which,https://cdn.myanimelist.net/images/manga/3/82192.jpg
2916,Soryanaize Darling,https://cdn.myanimelist.net/images/manga/1/11322.jpg
2921,Kaichou wa Maid-sama!,https://cdn.myanimelist.net/images/manga/2/120073.jpg
2923,Koko ni Iru yo!,https://cdn.myanimelist.net/images/manga/3/147283.jpg
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://cdn.myanimelist.net/images/manga/4/156988.jpg
3008,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://cdn.myanimelist.net/images/manga/2/180417.jpg
3009,JoJo no Kimyou na Bouken Part 6: Stone Ocean,https://cdn.myanimelist.net/images/manga/3/75929.jpg
3020,Ai no Tame ni,https://cdn.myanimelist.net/images/manga/3/11770.jpg
3031,Pandora Hearts,https://cdn.myanimelist.net/images/manga/5/185498.jpg
3033,Aiki,https://cdn.myanimelist.net/images/manga/3/52449.jpg
3093,Glass no Megami,https://cdn.myanimelist.net/images/manga/3/27872.jpg
3101,Deep Love: Pao no Monogatari,https://cdn.myanimelist.net/images/manga/3/36589.jpg
3116,Black Bird,https://cdn.myanimelist.net/images/manga/3/15666.jpg
3126,Yami no Koe,https://cdn.myanimelist.net/images/manga/2/234264.jpg
3140,Five,https://cdn.myanimelist.net/images/manga/3/9661.jpg
3194,Immortal Regis,https://cdn.myanimelist.net/images/manga/2/18072.jpg
3256,Fuan no Tane,https://cdn.myanimelist.net/images/manga/1/8840.jpg
3258,Haruka na Machi e,https://cdn.myanimelist.net/images/manga/5/68119.jpg
3285,Holyland,https://cdn.myanimelist.net/images/manga/4/71665.jpg
3299,Ookami to Koushinryou,https://cdn.myanimelist.net/images/manga/3/153861.jpg
3403,Rosario to Vampire: Season II,https://cdn.myanimelist.net/images/manga/2/54789.jpg
3436,Cutie Boy,https://cdn.myanimelist.net/images/manga/3/18760.jpg
3438,Psyren,https://cdn.myanimelist.net/images/manga/2/160868.jpg
3468,Usagi Drop,https://cdn.myanimelist.net/images/manga/2/203854.jpg
3486,Shiki,https://cdn.myanimelist.net/images/manga/1/56519.jpg
3493,Otokomae! Beads Club,https://cdn.myanimelist.net/images/manga/1/9817.jpg
3520,Totally Captivated,https://cdn.myanimelist.net/images/manga/5/30115.jpg
3526,Fate/kaleid liner Prisma☆Illya,https://cdn.myanimelist.net/images/manga/4/151202.jpg
3554,Midnight Secretary,https://cdn.myanimelist.net/images/manga/2/31577.jpg
3565,Shinobi Life,https://cdn.myanimelist.net/images/manga/3/19833.jpg
3583,Datte Suki Nan Damon,https://cdn.myanimelist.net/images/manga/3/245824.jpg
3605,Kimi ga Suki,https://cdn.myanimelist.net/images/manga/2/51207.jpg
3614,Subarashii Sekai,https://cdn.myanimelist.net/images/manga/1/147085.jpg
3631,Akuma to Dolce,https://cdn.myanimelist.net/images/manga/1/6317.jpg
3633,Beast Master,https://cdn.myanimelist.net/images/manga/2/169235.jpg
3645,Death Note 13: How to Read - Shinsou,https://cdn.myanimelist.net/images/manga/3/231006.jpg
3653,7 Jikan-me Rhapsody,https://cdn.myanimelist.net/images/manga/1/14830.jpg
3685,"Asa mo, Hiru mo, Yoru mo.",https://cdn.myanimelist.net/images/manga/2/130557.jpg
3713,Bartender,https://cdn.myanimelist.net/images/manga/5/5866.jpg
3731,Solanin,https://cdn.myanimelist.net/images/manga/2/179699.jpg
3749,Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch,https://cdn.myanimelist.net/images/manga/3/248922.jpg
3764,A Cat That Loved a Fish,https://cdn.myanimelist.net/images/manga/1/22621.jpg
3820,Shinigami Lovers,https://cdn.myanimelist.net/images/manga/1/172771.jpg
3821,Deep Love Virus,https://cdn.myanimelist.net/images/manga/3/4267.jpg
3831,Chocolate Cosmos,https://cdn.myanimelist.net/images/manga/2/180605.jpg
3866,Kuroshitsuji,https://cdn.myanimelist.net/images/manga/1/28128.jpg
3867,Harem☆Lodge,https://cdn.myanimelist.net/images/manga/2/171807.jpg
3872,Kiss yori mo Hayaku,https://cdn.myanimelist.net/images/manga/5/111965.jpg
3884,Kanokon,https://cdn.myanimelist.net/images/manga/3/52931.jpg
3924,Private Prince,https://cdn.myanimelist.net/images/manga/5/19202.jpg
3986,Deadman Wonderland,https://cdn.myanimelist.net/images/manga/3/186275.jpg
3992,Jigokusei Remina,https://cdn.myanimelist.net/images/manga/3/235820.jpg
4076,Beauty!!,https://cdn.myanimelist.net/images/manga/2/191405.jpg
4077,Ayu Mayu,https://cdn.myanimelist.net/images/manga/2/157775.jpg
4196,Animal♂Jungle,https://cdn.myanimelist.net/images/manga/2/82030.jpg
4207,Boku no Hatsukoi wo Kimi ni Sasagu,https://cdn.myanimelist.net/images/manga/1/202476.jpg
4249,Umi no Misaki,https://cdn.myanimelist.net/images/manga/1/56947.jpg
4251,Koibana!: Koiseyo Hanabi,https://cdn.myanimelist.net/images/manga/3/191476.jpg
4261,NanaKo Robin,https://cdn.myanimelist.net/images/manga/2/15136.jpg
4293,Ai Hime: Ai to Himegoto,https://cdn.myanimelist.net/images/manga/3/153228.jpg
4330,Gochisou-sama,https://cdn.myanimelist.net/images/manga/5/16367.jpg
4344,Aflame Inferno,https://cdn.myanimelist.net/images/manga/1/55009.jpg
4358,Monster Soul,https://cdn.myanimelist.net/images/manga/5/23366.jpg
4368,Toradora!,https://cdn.myanimelist.net/images/manga/2/174090.jpg
4392,7-genme wa Himitsu.,https://cdn.myanimelist.net/images/manga/2/171442.jpg
4487,A Kiss to the Prince,https://cdn.myanimelist.net/images/manga/5/43797.jpg
4514,"Kyou, Koi wo Hajimemasu",https://cdn.myanimelist.net/images/manga/3/37974.jpg
4571,Akagami no Shirayuki-hime,https://cdn.myanimelist.net/images/manga/3/19761.jpg
4584,Sasameki Koto,https://cdn.myanimelist.net/images/manga/2/217658.jpg
4608,Break Blade,https://cdn.myanimelist.net/images/manga/3/160213.jpg
4632,Oyasumi Punpun,https://cdn.myanimelist.net/images/manga/3/164420.jpg
4685,Saikyou Koibana: Sweet & Erotic Best 5,https://cdn.myanimelist.net/images/manga/3/5780.jpg
4768,Bus Hashiru.,https://cdn.myanimelist.net/images/manga/3/181327.jpg
4964,Eien no With,https://cdn.myanimelist.net/images/manga/3/19931.jpg
